personId,firstName,lastName,email,dob,address,majors
7b1fb398-72d7-421e-808c-631a427bfbc4,David,Taylor,david.taylor@example.com,1992-08-15,"767 Walnut St, Georgetown, OH",Communications
99a4b233-2804-420b-b757-039f0f3cceb7,Jane,Wilson,jane.wilson@example.com,1969-08-20,"168 Birch St, Riverside, FL","Music, Finance"
0fb01c62-21b7-43fc-a631-d2fcdd949e0a,Alice,Williams,alice.williams@example.com,1958-09-06,"965 Birch St, Greenville, NY",Environmental Science
9bcb32b8-234d-42e2-9dd9-c49399ab95f4,John,Moore,john.moore@example.com,1987-08-14,"145 Spruce St, Madison, TX",Law
f1005104-0c61-4427-80ad-fa91db012adc,Bob,Doe,bob.doe@example.com,1976-09-01,"284 Elm St, Georgetown, PA","Marketing, Electrical Engineering, Marketing"
0fcb5492-5b97-44b2-bd87-395e2c16c0d7,Jane,Brown,jane.brown@example.com,1976-12-16,"255 Oak St, Madison, TX","Art, Biology, Marketing"
4632ced6-53f0-4eea-995d-2496d19a806c,Sarah,Smith,sarah.smith@example.com,1981-06-28,"189 Pine St, Fairview, PA",
78383456-9740-463e-8058-cd49381b0b81,James,Davis,james.davis@example.com,1966-04-16,"689 Oak St, Fairview, IL","English, Geography, Mathematics"
ae82afd8-fc74-4e1a-97b5-a4ab0312f053,Linda,Brown,linda.brown@example.com,1994-03-08,"538 Walnut St, Greenville, OH",
c097be42-b137-4532-9b6b-fab2ed7be18d,John,Davis,john.davis@example.com,1966-09-03,"363 Elm St, Greenville, OH","Art, Finance, Linguistics, Education, Public Health"
64772f74-cda0-4fc1-8ece-d89d8cf621da,Emily,Davis,emily.davis@example.com,1960-09-11,"236 Pine St, Madison, PA","Marketing, Journalism, Mathematics, Business Administration"
cfda8cc4-0c45-47a0-ba16-13b9916424cc,James,Moore,james.moore@example.com,1966-05-24,"559 Oak St, Fairview, IL","Philosophy, Music, Electrical Engineering, Mechanical Engineering"
e92704a6-7f85-4d98-b86a-720fea990af3,David,Davis,david.davis@example.com,1988-05-02,"609 Oak St, Greenville, IL",
2f1c08d0-8dde-4e36-9eab-82254f9c07ea,John,Miller,john.miller@example.com,1952-06-12,"169 Maple St, Salem, TX","Veterinary Medicine, Art, Social Work, Marketing, Urban Planning"
e913aeb7-09f9-49b7-900b-96db1a8da078,John,Moore,john.moore@example.com,1969-08-06,"282 Spruce St, Georgetown, TX","Finance, Music"
c5da647a-2a32-4707-983a-76c102447e4e,James,Williams,james.williams@example.com,1955-08-18,"224 Oak St, Riverside, OH","Electrical Engineering, Physics, Linguistics, Communications, Physics"
b2857a4c-6b82-4f88-a91b-d8557456c226,David,Brown,david.brown@example.com,1986-02-23,"240 Elm St, Springfield, TX","Linguistics, English, Psychology, Foreign Languages"
d54feca6-eb09-4381-ae61-e5c7da4fba7a,Sarah,Davis,sarah.davis@example.com,1954-02-04,"189 Elm St, Springfield, CA","Theater, Biology"
29468257-12ce-45da-a17c-c69e776c7e69,Emily,Moore,emily.moore@example.com,1957-05-31,"175 Walnut St, Springfield, CA",
8078b4cf-c3e6-4cab-b5b0-731f3df79526,James,Taylor,james.taylor@example.com,1954-10-24,"253 Walnut St, Georgetown, PA",
c81e1b98-61a6-4c77-ad66-cb597913626e,Emily,Taylor,emily.taylor@example.com,1968-01-23,"880 Walnut St, Riverside, OH","Anthropology, Nursing, Communications"
7039a8bd-5478-4626-969d-c42d5776650d,Alice,Doe,alice.doe@example.com,1952-08-09,"883 Spruce St, Riverside, OH",Library Science
951ce315-8792-4325-afa5-33fbea08b8c3,Bob,Moore,bob.moore@example.com,1996-03-11,"968 Pine St, Salem, TX","Psychology, Nursing"
dc46916a-2924-442b-9f05-e1905b387feb,James,Williams,james.williams@example.com,1956-05-01,"872 Elm St, Fairview, OH","Computer Science, Philosophy, Electrical Engineering, Health Science, Mathematics"
bd5899e9-b4a2-4256-a134-d9adcb44e0c5,James,Davis,james.davis@example.com,1979-05-11,"914 Cedar St, Madison, PA","Agriculture, Criminal Justice, Marketing, Veterinary Medicine"
df9e3d76-8879-4c76-afd7-f70f16813258,John,Moore,john.moore@example.com,1994-01-14,"934 Pine St, Fairview, OH",Business Administration
114ac99a-b2e2-4da9-844b-0bc5b5d40ec6,Sarah,Brown,sarah.brown@example.com,1975-11-03,"177 Oak St, Springfield, CA","Journalism, Business Administration, Architecture, Philosophy"
48d9bd03-4aa6-42ef-9d94-89ac6d706f31,Michael,Moore,michael.moore@example.com,1982-05-05,"983 Spruce St, Georgetown, FL","Music, Criminal Justice, Economics, Philosophy, Business Administration"
eb3519b6-d50e-4250-bcb7-f9664c7c9061,Alice,Davis,alice.davis@example.com,1998-01-03,"240 Birch St, Springfield, FL","Philosophy, Political Science"
9874f222-e125-4f87-a19a-d3863246c801,Jane,Johnson,jane.johnson@example.com,1965-01-19,"337 Walnut St, Springfield, PA","English, Geography, Computer Science"
58e411a6-5607-4c9b-9b6d-c68d8fc8b4be,Linda,Wilson,linda.wilson@example.com,1959-11-12,"877 Walnut St, Riverside, PA","Social Work, Art"
08515d01-e2e0-4f59-bc57-caa688304fe3,Emily,Williams,emily.williams@example.com,1988-12-16,"960 Walnut St, Riverside, NY",
0d92bcb1-f7b2-4c94-875c-1c0c250f7aec,David,Johnson,david.johnson@example.com,1983-04-03,"952 Spruce St, Greenville, FL","Theater, Communications"
afce117e-f675-4c8c-b830-7d0624c35d40,Michael,Smith,michael.smith@example.com,1966-05-18,"970 Pine St, Georgetown, OH","Environmental Science, Marketing, Anthropology"
5b10bfd7-62bf-4f7a-b660-b881ddc1deb3,Jane,Doe,jane.doe@example.com,1989-02-15,"653 Cedar St, Fairview, OH","Physics, Mechanical Engineering, Electrical Engineering, Education"
9d2787b2-97ee-4b90-8026-1522a9c6b979,John,Miller,john.miller@example.com,1965-11-04,"908 Pine St, Greenville, PA","Theater, Art, Mechanical Engineering, Marketing, Architecture"
bd408b63-be60-4eef-93b2-4334d20144fd,Alice,Miller,alice.miller@example.com,1988-01-07,"102 Oak St, Springfield, OH","English, Political Science, Accounting, Theater"
6a064f14-b3c5-4a5c-beed-7d721cd3918c,Jane,Moore,jane.moore@example.com,1951-12-16,"563 Walnut St, Georgetown, CA","Accounting, History, Journalism, Sociology, History"
e2814f37-795f-440f-8406-d8e649ea4c5e,David,Brown,david.brown@example.com,1973-07-16,"510 Elm St, Fairview, PA",Art
b49e2788-2144-4ea0-a727-9e55b49702ba,Sarah,Wilson,sarah.wilson@example.com,1997-12-02,"511 Pine St, Greenville, TX",Economics
8086c811-84be-43f2-8fb7-52660bb63b1e,David,Williams,david.williams@example.com,1988-08-21,"232 Birch St, Georgetown, PA","Social Work, Journalism, Nursing"
f2546444-d125-4d07-8382-437b4e81eb12,Linda,Johnson,linda.johnson@example.com,1961-08-15,"907 Pine St, Riverside, OH","Communications, Social Work, Marketing"
6a30f04d-871d-4af9-bea7-d085fdbae873,Linda,Wilson,linda.wilson@example.com,1990-04-15,"568 Spruce St, Springfield, NY",Communications
b0d345d4-d363-4047-be46-561be5325b78,Alice,Davis,alice.davis@example.com,1985-07-08,"106 Oak St, Springfield, OH",Philosophy
61542117-751f-4382-8e6f-b2ad7f4c17f2,John,Johnson,john.johnson@example.com,1982-09-17,"673 Pine St, Fairview, IL","Mechanical Engineering, Music, Sociology"
723a2264-1065-4651-ab25-78e5319211f8,Emily,Miller,emily.miller@example.com,1972-12-09,"169 Elm St, Riverside, FL","Library Science, Biology, Social Work"
a8c2c000-620a-4d13-b4a4-29027cb4bfe3,Bob,Wilson,bob.wilson@example.com,1997-12-21,"139 Cedar St, Salem, CA",
672eb3b9-7243-4766-ad24-9144a1a1d3be,Bob,Brown,bob.brown@example.com,1992-06-22,"722 Birch St, Fairview, CA","Business Administration, Marketing, Electrical Engineering"
b2c720fe-b6c5-4670-bd8e-6d0fa78c0656,Alice,Moore,alice.moore@example.com,1960-02-11,"329 Oak St, Springfield, NY","Public Health, Sociology, Philosophy, Nursing"
e990c9c3-407e-43bd-9dc7-56842ace017f,David,Miller,david.miller@example.com,1988-03-25,"838 Spruce St, Salem, CA","Psychology, English, Business Administration"
7ffb8d92-a96f-46fe-8b6f-b508cabeb2a5,David,Brown,david.brown@example.com,1965-11-25,"463 Birch St, Riverside, OH",
584e06ea-e071-4106-a973-179c216e9a90,John,Miller,john.miller@example.com,1952-12-21,"628 Birch St, Fairview, FL",
e94ec8e4-8e39-4d2a-a700-c0edd8a92ea6,Linda,Wilson,linda.wilson@example.com,1962-11-02,"247 Oak St, Salem, CA",
95e4d56a-f265-4bf1-acef-018db42589bb,John,Wilson,john.wilson@example.com,1996-05-26,"808 Spruce St, Fairview, IL","History, Journalism, Anthropology, Accounting"
